Feedback,PredictedCategory,TrueCategory
The syllabus isn't being completed on time.,Academics,Academics
Wi-Fi doesn't work properly in the hostel.,Facilities,Facilities
The admin office is delaying scholarship approvals.,Administration,Administration
Professors don't respond to doubts after class.,Administration,Academics
There are not enough fans in the lecture hall.,Facilities,Facilities
The fee payment portal is often down.,Administration,Administration
Lab equipment is outdated and often broken.,Facilities,Facilities
The classroom projectors arenâ€™t working.,Facilities,Facilities
The office lost my ID card application.,Administration,Administration
Assignments are too frequent and disorganized.,Administration,Academics
